Date,User_ID,Session_Duration,Page_Views,Source,Medium,Campaign,Device_Category,Country,New_User,Conversions,Revenue
2023-06-06,1,448,7,Referral,Direct,Spring Promo,Tablet,USA,1,2,124
2023-06-19,2,94,1,Referral,Social Media,Summer Sale,Desktop,India,1,1,130
2023-06-29,3,595,6,Direct,Referral,Winter Campaign,Tablet,India,1,1,136
2023-06-01,4,263,9,Social,Organic Search,,Tablet,Australia,1,0,0
2023-06-30,5,242,1,Referral,Referral,Spring Promo,Tablet,USA,0,0,0
2023-06-30,6,421,6,Organic,Direct,Summer Sale,Desktop,Germany,1,3,318
2023-06-21,7,359,6,Referral,Direct,Summer Sale,Desktop,Canada,0,1,67
2023-06-20,8,448,9,Organic,Direct,,Desktop,Germany,1,3,315
2023-06-07,9,185,8,Referral,Referral,Winter Campaign,Desktop,Canada,1,1,59
2023-06-08,10,379,3,Direct,Social Media,Winter Campaign,Mobile,India,1,3,339
2023-06-16,11,218,10,Direct,Organic Search,,Desktop,USA,0,3,360
2023-06-25,12,569,4,Organic,Referral,Winter Campaign,Tablet,Germany,0,0,0
2023-06-10,13,561,5,Social,Referral,Summer Sale,Mobile,France,1,1,59
2023-06-05,14,362,1,Referral,Organic Search,Summer Sale,Tablet,Canada,0,0,0
2023-06-11,15,197,10,Referral,Direct,,Tablet,Australia,0,0,0
2023-06-26,16,152,7,Referral,Referral,,Desktop,India,1,1,145
2023-06-01,17,419,2,Social,Organic Search,Winter Campaign,Desktop,France,1,1,81
2023-06-17,18,491,6,Social,Organic Search,Summer Sale,Desktop,Canada,0,0,0
2023-06-02,19,328,9,Direct,Direct,Spring Promo,Tablet,Australia,0,0,0
2023-06-08,20,83,9,Organic,Social Media,Winter Campaign,Desktop,Australia,0,0,0
2023-06-25,21,161,7,Referral,Referral,Summer Sale,Tablet,UK,1,0,0
2023-06-17,22,298,4,Social,Referral,Winter Campaign,Mobile,India,0,3,411
2023-06-19,23,457,1,Social,Organic Search,Winter Campaign,Desktop,Germany,1,3,339
2023-06-26,24,305,10,Social,Direct,Summer Sale,Tablet,Germany,1,1,88
2023-06-11,25,284,10,Direct,Direct,Winter Campaign,Mobile,Australia,1,1,64
2023-06-14,26,364,4,Organic,Referral,Spring Promo,Desktop,USA,1,2,208
2023-06-07,27,508,3,Direct,Social Media,Summer Sale,Mobile,UK,1,2,170
2023-06-09,28,331,3,Direct,Organic Search,,Desktop,Australia,1,0,0
2023-06-01,29,569,10,Organic,Organic Search,Summer Sale,Tablet,Germany,0,2,280
2023-06-24,30,408,1,Direct,Direct,Winter Campaign,Tablet,France,1,1,99
2023-06-07,31,244,9,Referral,Direct,,Desktop,UK,1,3,378
2023-06-15,32,418,8,Social,Referral,Spring Promo,Tablet,USA,1,3,339
2023-06-21,33,493,8,Direct,Referral,Spring Promo,Desktop,India,0,2,146
2023-06-09,34,460,6,Referral,Referral,Spring Promo,Desktop,Australia,0,0,0
2023-06-09,35,82,10,Organic,Organic Search,Winter Campaign,Desktop,Canada,0,0,0
2023-06-25,36,429,1,Social,Social Media,Winter Campaign,Mobile,USA,1,3,432
2023-06-25,37,421,8,Organic,Social Media,,Mobile,Germany,1,1,140
2023-06-05,38,518,7,Social,Social Media,Summer Sale,Mobile,Canada,0,1,141
2023-06-27,39,494,8,Direct,Organic Search,,Desktop,Germany,1,0,0
2023-06-05,40,255,5,Referral,Organic Search,Spring Promo,Tablet,UK,0,0,0
2023-06-29,41,141,9,Referral,Social Media,,Mobile,India,1,1,130
